0.229309,0.123827,0.106284,0.255349,0.174266,0.337503,0.195153,0.162772,0.127425,0.077747,0.194309,0.250253,0.107385,0.07651199,0.227009,0.178214
0.22739,0.123967,0.106308,0.254978,0.173951,0.337227,0.192528,0.162587,0.126604,0.077224,0.193402,0.249621,0.107261,0.076251,0.226812,0.178052
0.225616,0.124264,0.106349,0.254499,0.173713,0.336975,0.189944,0.162428,0.125757,0.076825,0.192446,0.248959,0.107131,0.07601099,0.226568,0.177987
0.22385,0.12452,0.106382,0.254188,0.173705,0.336511,0.187499,0.162323,0.124789,0.076527,0.191547,0.248261,0.106943,0.075794,0.226402,0.177951
0.22223,0.124798,0.106419,0.253926,0.173432,0.336216,0.185884,0.162258,0.123882,0.076538,0.190896,0.247746,0.106749,0.075605,0.226258,0.177928
0.220784,0.125073,0.106422,0.253582,0.172817,0.335909,0.183826,0.16211,0.123417,0.07661,0.190071,0.247242,0.106629,0.075411,0.22609,0.177905
0.219427,0.125334,0.106412,0.253275,0.172354,0.335681,0.182836,0.161923,0.122832,0.076644,0.189599,0.246647,0.106336,0.075209,0.225946,0.177874
0.218174,0.125525,0.106332,0.253174,0.17156,0.33548,0.182172,0.161878,0.122119,0.076683,0.189392,0.246015,0.106001,0.075108,0.225562,0.177829
0.216999,0.125685,0.10621,0.25281,0.170719,0.33523,0.181675,0.161996,0.121325,0.076605,0.189051,0.245286,0.10561,0.075032,0.224965,0.177765
0.215851,0.125807,0.106006,0.25238,0.169762,0.334667,0.181213,0.162209,0.120301,0.076445,0.188756,0.24446,0.105159,0.074921,0.224091,0.177682
0.214804,0.125944,0.105765,0.252093,0.168496,0.33398,0.180851,0.162213,0.118877,0.076309,0.18855,0.243738,0.10479,0.074664,0.222991,0.177604
0.213958,0.126088,0.105491,0.251602,0.167435,0.333349,0.180501,0.162034,0.117667,0.076253,0.188363,0.243046,0.104285,0.074425,0.221689,0.177559
0.213158,0.126299,0.10523,0.251394,0.166716,0.332793,0.180164,0.161606,0.116562,0.076561,0.188129,0.242464,0.103592,0.074189,0.220108,0.177562
0.212033,0.126575,0.104873,0.25053,0.166228,0.331842,0.179869,0.161047,0.115595,0.077216,0.187941,0.241935,0.102812,0.073892,0.218524,0.177548
0.210874,0.126734,0.104111,0.249485,0.165544,0.331023,0.179551,0.160186,0.11469,0.077633,0.187755,0.241608,0.102084,0.07359499,0.217171,0.177453
0.209634,0.12646,0.103797,0.248145,0.165001,0.330406,0.179227,0.159134,0.113642,0.07783899,0.187634,0.250508,0.101375,0.073263,0.216098,0.177287
